code,name,Region Area
1,East Kootenay,27541.84
3,Central Kootenay,22094.94
5,Kootenay Boundary,8084.52
7,Okanagan-Similkameen,10411.68
9,Fraser Valley,13335.28
15,Greater Vancouver,2882.68
17,Capital,2340.49
19,Cowichan Valley,3474.52
21,Nanaimo,2038.04
23,Alberni-Clayoquot,6589.15
25,Comox Valley + Strathcona,19977.96
27,Powell River,5075.33
29,Sunshine Coast,3773.73
31,Squamish-Lillooet,16311.62
33,Thompson-Nicola,44449.42
35,Central Okanagan,2904.86
37,North Okanagan,7502.6
39,Columbia-Shuswap,28929.19
41,Cariboo,80609.75
43,Mount Waddington,20244.27
45,Central Coast,24491.85
47,Skeena-Queen Charlotte,19775.41
49,Kitimat-Stikine,104464.61
51,Bulkley-Nechako + Stikine,192024.53
53,Fraser-Fort George,50676.1
55,Peace River,117387.55
59,Northern Rockies,85111.07